2023/12/31 10:40:02 [alert] 7300#10016: OpenEvent("ngx_master_18888") failed (2: The system cannot find the file specified)
2024/01/01 05:00:05 [error] 8208#11684: *878 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1704048401.4220929145812988281250 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local"
2024/01/04 10:25:24 [error] 4196#15116: *9145 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=hoverIntent&ver=6.4.2 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:24 [error] 4196#15116: *9145 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=hoverIntent&ver=6.4.2 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9240 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9241 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9242 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9243 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9244 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9245 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9246 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9247 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/campus/115?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9248 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9249 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:25 [error] 4196#15116: *9250 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:41 [error] 4196#15116: *9255 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:41 [error] 4196#15116: *9256 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/campus/115?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:42 [error] 4196#15116: *9257 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:42 [error] 4196#15116: *9258 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/campus/115?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:43 [error] 4196#15116: *9259 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/01/04 10:25:43 [error] 4196#15116: *9260 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/campus/115?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post-new.php?post_type=campus"
2024/02/15 03:18:28 [alert] 12200#13372: worker process 8924 exited with code C0000142
2024/02/15 03:18:28 [alert] 12200#13372: could not respawn worker
